ATP6AP2 NG_008874
ATP6V0A1 NG_047037
ATP6V0A2 NG_012743
ATP6V0A4 NG_008145
ATP6V0D1 NG_011482
ATP6V1A NG_047012
ATP6V1B1 NG_008016
ATP6V1B2 NG_047013
ATP6V1C2 NG_050575
ATP6V1E1 NG_009214
ATP7A NG_013224
ATP7B NG_008806
ATP8A2 NG_042855
ATP8B1 NG_007148
ATPAF2 NG_012824
ATR NG_008951
ATRIP NG_041782
ATRN NG_029406
ATRX NG_008838
ATXN1 NG_011571
ATXN10 NG_016212
ATXN2 NG_011572
ATXN3 NG_008198
ATXN3L NG_021356
ATXN7 NG_008227
ATXN8OS NG_016173
AUH NG_008017
AUP1 NG_033037
AURKA NG_012133
AURKC NG_012134
AUTS2 NG_034133
AVP NG_008663
AVPR2 NG_008687
AWAT1 NG_013225
AWAT2 NG_021246
AXDND1 NG_033075
AXIN1 NG_012267
AXIN2 NG_012142
B2M NG_012920
B3GALNT1 NG_007854
B3GALNT2 NG_033219
B3GALT1 NG_050644
B3GALT2 NG_052990
B3GALT6 NG_033265
B3GAT3 NG_031863
B3GLCT NG_011732
B3GNT3 NG_028981
B4GALNT1 NG_033849
B4GALT1 NG_008919
B4GALT3 NG_011480
B4GALT7 NG_015977
B4GAT1 NG_033202
B9D1 NG_031885
B9D2 NG_013091
BAAT NG_009774
BABAM2 NG_051044
BACE1 NG_029372
BACH1 NG_029658
BAG1 NG_029018
BAG3 NG_016125
BAIAP2 NG_029486
BAIAP2L1 NG_013090
BAIAP2L2 NG_033059
BAIAP3 NG_033974
BANF1 NG_031874
BANK1 NG_015824
BANP NG_029918
BAP1 NG_031859
BARD1 NG_012047
BAX NG_012191
BAZ1B NG_027679
BAZ2B NG_051314
BBC3 NG_031991
BBIP1 NG_041778
BBOF1 NG_033060
BBS1 NG_009093
BBS10 NG_016357
BBS12 NG_021203
BBS2 NG_009312
BBS4 NG_009416
BBS5 NG_011567
BBS7 NG_009111
BBS9 NG_009306
BCAM NG_007480
BCAN NG_030013
BCAP31 NG_023231
BCAT1 NG_008170
BCAT2 NG_013003
BCCIP NG_029095
BCHE NG_009031
BCKDHA NG_013004
BCKDHB NG_009775
BCKDK NG_033011
BCL10 NG_012216
BCL11A NG_011968
BCL11B NG_027894
BCL2 NG_009361
BCL2A1 NG_029487
BCL2L1 NG_029002
BCL2L11 NG_029006
BCL2L14 NG_029375
BCL3 NG_052809
BCL6 NG_007149
BCL7B NG_027959
BCO1 NG_012171
BCOR NG_008880
BCORL1 NG_021274
BCR NG_009244
BCS1L NG_008018
BDNF NG_011794
BDP1 NG_047017
BEAN1 NG_021403
BEND2 NG_021323
BEND5 NG_053063
BEST1 NG_009033
BEX2 NG_016254
BEX4 NG_021339
BFSP1 NG_012423
BFSP2 NG_012425
BGLAP NG_047015
BGLT3 NG_000007
BGN NG_015961
BHLHA9 NG_042055
BHLHB9 NG_021340
BHLHE22 NG_051813
BHLHE41 NG_021173
BHMT NG_029156
BHMT2 NG_029157
BICC1 NG_029759
BICD2 NG_033908
BIN1 NG_012042
BIRC5 NG_029069
BIRC7 NG_029552
BLK NG_023543
BLM NG_007272
BLMH NG_011440
BLNK NG_007575
BLOC1S3 NG_008372
BLOC1S6 NG_028194
BLVRA NG_031876
BMP1 NG_029659
BMP10 NG_032117
BMP15 NG_012894
BMP2 NG_023233
BMP2K NG_047162
BMP4 NG_009215
BMP7 NG_032771
BMPER NG_031933
BMPR1A NG_009362
BMPR1B NG_009245
BMPR2 NG_009363
BMS1 NG_046921
BMX NG_013227
BNC2 NG_051226
BNIP2 NG_029765
BNIPL NG_029720
BOK NG_029488
BOLA3 NG_031910
BPGM NG_012921
BPI NG_047016
BPIFB2 NG_016714
BPTF NG_052828
BPY2 NG_009862
BRAF NG_007873
BRAT1 NG_032167
BRCA1 NG_005905
BRCA2 NG_012772
BRCC3 NG_047184
BRD2 NG_042801
BRD7 NG_023418
BRF1 NG_029489
BRF2 NG_046965
BRIP1 NG_007409
BRPF1 NG_052955
BRWD1 NG_029919
BRWD3 NG_021349
BSCL2 NG_008461
BSG NG_007468
BSN NG_015892
BSND NG_008965
BTBD11 NG_052621
BTBD16 NG_051638
BTBD9 NG_016545
BTD NG_008019
BTG2 NG_046929
BTK NG_009616
BTRC NG_009234
BUB1 NG_012048
BUB1B NG_016338
BUB3 NG_033794
BVES NG_046732
C10orf11 NG_042180
C11orf74 NG_033154
C12orf4 NG_051648
C12orf57 NG_034262
C12orf65 NG_027517
C15orf41 NG_034055
C16orf58 NG_033149
C16orf89 NG_030316
C18orf8 NG_033119
C19orf12 NG_031970
C1GALT1 NG_027732
C1GALT1C1 NG_016219
C1QA NG_007282
C1QB NG_007283
C1QC NG_007565
C1QTNF5 NG_012235
C1S NG_011694
C2 NG_011730
C20orf141 NG_053067
C20orf194 NG_031974
C21orf2 NG_032952
C21orf33 NG_021281
C21orf59 NG_033839
C2CD3 NG_041791
C2CD6 NG_051007
C2orf71 NG_021427
C3 NG_009557
C3AR1 NG_050736
C4A NG_011638
C4B NG_011639
C4BPA NG_029579
C4BPB NG_029386
C4orf26 NG_032974
C4orf46 NG_033150
C5 NG_007364
C5orf42 NG_032772
C6 NG_011582
C6orf222 NG_052656
C7 NG_011692
C8A NG_012049
C8B NG_007285
C8G NG_029580
C8orf37 NG_032804
C9 NG_009894
C9orf3 NG_027833
C9orf72 NG_031977
CA1 NG_016221
CA12 NG_028022
CA2 NG_007287
CA4 NG_012050
CA5A NG_033227
CA5B NG_012766
CA6 NG_033975
CA8 NG_023193
CABIN1 NG_047136
CABP1 NG_029321
CABP2 NG_032982
CABP4 NG_021211
CACNA1A NG_011569
CACNA1B NG_042271
CACNA1C NG_008801
CACNA1D NG_032999
CACNA1E NG_050616
CACNA1F NG_009095
CACNA1G NG_032024
CACNA1H NG_012647
CACNA1I NG_052947
CACNA1S NG_009816
CACNA2D1 NG_009358
CACNA2D2 NG_034070
CACNA2D4 NG_012663
CACNB1 NG_052811
CACNB2 NG_016195
CACNB3 NG_030048
CACNB4 NG_012641
CACNG2 NG_031861
CACYBP NG_029961
CAD NG_046394
CADM3 NG_051933
CADPS NG_047093
CADPS2 NG_016215
CALCA NG_015960
CALCR NG_013005
CALD1 NG_029186
CALHM1 NG_016855
CALM1 NG_013338
CALM2 NG_042065
CALM3 NG_051331
CALR NG_029662
CALR3 NG_031959
CALU NG_033110
